Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization,Average Wait Time, Average Queue Length, Final Clock Time
1.000000,1.272588,0.042400,5.395775,0.000000,0.000000,3929
2.000000,2.530364,0.042400,10.728745,0.000000,0.000000,1976
3.000000,3.767898,0.042400,15.975885,0.000000,0.000000,1327
4.000000,5.000000,0.042400,21.200001,0.000000,0.000000,1000
5.000000,6.211180,0.042400,26.335403,0.000000,0.000000,805
6.000000,7.407407,0.042400,31.407408,0.000000,0.000000,675
7.000000,8.576329,0.042400,36.363636,0.000000,0.000000,583
8.000000,9.765625,0.042400,41.406250,0.000000,0.000000,512
9.000000,10.869565,0.042400,46.086956,0.000000,0.000000,460
10.000000,12.077294,0.042400,51.207729,0.000000,0.000000,414
11.000000,13.157895,0.042400,55.789474,0.000000,0.000000,380
