Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization,Average Wait Time, Average Queue Length, Final Clock Time
1.000000,1.087233,0.979184,6.460914,919.758423,919.758423,9197662
2.000000,2.175635,0.519054,12.928774,459.628204,919.256409,4596360
3.000000,3.265228,0.365675,19.403717,306.249512,918.748535,3062573
4.000000,4.355947,0.288989,25.885345,229.563400,918.253601,2295712
5.000000,5.447783,0.242978,32.373615,183.553101,917.765503,1835609
6.000000,6.540928,0.212393,38.869663,152.967606,917.805664,1528835
7.000000,7.634870,0.190958,45.370445,131.533005,920.731018,1309780
8.000000,8.730803,0.175518,51.883060,116.092400,928.739197,1145370
9.000000,9.827122,0.164412,58.397964,104.986900,944.882080,1017592
10.000000,10.924317,0.156913,64.918083,97.487503,974.875000,915389
11.000000,12.023884,0.152954,71.452293,93.528801,1028.816772,831678
12.000000,13.123773,0.153488,77.988411,94.062599,1128.751221,761976
13.000000,14.224225,0.161543,84.527885,102.118103,1327.535400,703026
14.000000,15.325765,0.192828,91.073814,133.402405,1867.633667,652496
15.000000,16.429155,0.454970,97.630753,395.545013,5933.175293,608674
16.000000,16.823545,10.815677,99.974426,10756.251953,172100.031250,594405
17.000000,16.824396,27.681957,99.979477,27622.531250,469583.031250,594375
18.000000,16.825159,42.730663,99.984016,42671.238281,768082.312500,594348
19.000000,16.825867,56.165813,99.988220,56106.390625,1066021.375000,594323
20.000000,16.826519,68.273895,99.992088,68214.468750,1364289.375000,594300
21.000000,16.826801,79.253632,99.993774,79194.210938,1663078.375000,594290
22.000000,16.826859,89.231354,99.994110,89171.929688,1961782.500000,594288
23.000000,16.826916,98.369019,99.994446,98309.593750,2261120.750000,594286
24.000000,16.826942,106.704163,99.994614,106644.734375,2559473.500000,594285
25.000000,16.826971,114.358749,99.994781,114299.328125,2857483.250000,594284
26.000000,16.827028,121.453018,99.995117,121393.593750,3156233.500000,594282
27.000000,16.827057,128.035721,99.995285,127976.304688,3455360.250000,594281
28.000000,16.827085,134.109009,99.995453,134049.578125,3753388.250000,594280
29.000000,16.827114,139.766251,99.995628,139706.828125,4051498.000000,594279
30.000000,16.827141,145.136887,99.995796,145077.468750,4352324.000000,594278
