Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization,Average Wait Time, Average Queue Length, Final Clock Time
1.000000,1.088399,0.059947,6.525840,0.003140,0.003140,91878104.000000
2.000000,2.176800,0.059956,13.051699,0.002680,0.005360,45938984.000000
3.000000,3.265154,0.059957,19.577269,-0.001020,-0.003060,30626428.000000
4.000000,4.353615,0.059959,26.103485,0.000640,0.002560,22969416.000000
5.000000,5.441977,0.059958,32.629101,0.000450,0.002250,18375676.000000
6.000000,6.530371,0.058632,38.234093,0.083980,0.503880,15313067.000000
7.000000,7.618610,0.055662,42.041943,0.478810,3.351670,13125754.000000
8.000000,8.706983,0.051816,44.116077,1.148710,9.189680,11485035.000000
9.000000,9.795560,0.047286,44.431789,1.927390,17.346510,10208707.000000
10.000000,10.884044,0.042045,42.896378,2.633290,26.332901,9187762.000000
11.000000,11.972257,0.035893,39.258118,3.102270,34.124969,8352644.000000
12.000000,13.060503,0.028814,33.475964,3.182850,38.194199,7656673.000000
13.000000,14.148732,0.020902,25.595537,2.811230,36.545990,7067771.000000
14.000000,15.237440,0.012133,15.587536,1.902820,26.639481,6562782.000000
15.000000,16.325613,0.003066,4.087950,0.562490,8.437349,6125344.000000
16.000000,16.677904,0.002537,0.003352,2.534850,40.557598,5995957.000000
17.000000,16.677984,0.005913,0.002218,5.911730,100.499405,5995928.000000
18.000000,16.678055,0.008917,0.001735,8.915540,160.479721,5995903.000000
19.000000,16.678122,0.011602,0.001151,11.601250,220.423737,5995879.000000
20.000000,16.678183,0.014020,0.000684,14.019290,280.385803,5995857.000000
21.000000,16.678188,0.016209,0.000684,16.208290,340.374084,5995855.000000
