Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization
1.000000,1.086644,-860.327698,6.511539
2.000000,2.173282,-400.199310,13.023045
3.000000,3.259885,-246.826004,19.534340
4.000000,4.346496,-170.137604,26.045681
5.000000,5.433179,-124.121803,32.557457
6.000000,6.519746,-93.371101,39.068539
7.000000,7.606119,-71.019798,45.578449
8.000000,8.692515,-53.622398,52.088505
9.000000,9.779272,-39.191002,58.599842
10.000000,10.865845,-26.722401,65.091629
11.000000,11.951915,-15.539900,71.491455
12.000000,13.038099,-4.726200,77.764175
13.000000,14.124593,7.148400,83.780876
14.000000,15.210768,32.358299,89.748550
15.000000,16.295828,276.648285,96.804718
16.000000,16.683239,10554.874023,99.976807
17.000000,16.684046,27528.896484,99.981651
18.000000,16.684742,42568.304688,99.985817
19.000000,16.685911,56029.804688,99.989822
20.000000,16.686134,68148.492188,99.993492
21.000000,16.686384,79114.093750,99.993828
22.000000,16.685381,89139.179688,99.994156
23.000000,16.685410,98261.437500,99.994324
24.000000,16.685465,106612.031250,99.994659
25.000000,16.685493,114320.921875,99.994827
26.000000,16.685522,121395.851562,99.994995
27.000000,16.685549,127940.289062,99.995163
28.000000,16.685577,134050.500000,99.995331
29.000000,16.685604,139770.609375,99.995491
30.000000,16.685633,145044.406250,99.995659
